model,epoch,train_loss,val_loss,lr,is_best
resnet,72,3.3004380432955386e-05,2.359979696571827e-05,6.25e-05,0
resnet,73,3.248458124747101e-05,2.3670639933552592e-05,6.25e-05,0
resnet,74,3.2410591136098706e-05,2.3162666558055207e-05,6.25e-05,0
resnet,75,3.174055023933761e-05,2.3084429381415248e-05,6.25e-05,0
resnet,76,3.1329966268302606e-05,2.298203874088358e-05,6.25e-05,0
resnet,77,3.0898440400238285e-05,2.287768083178283e-05,6.25e-05,0
resnet,78,3.059279592591338e-05,2.3578813420414613e-05,6.25e-05,0
resnet,79,3.064926755290279e-05,2.298844620080975e-05,6.25e-05,0
resnet,80,2.9992879353646587e-05,2.2824582028940008e-05,6.25e-05,1
gelu_resnet,1,0.2095571145795073,0.0032251090547194086,0.001,0
gelu_resnet,2,0.0027569901316772615,0.0008267730595047275,0.001,0
gelu_resnet,3,0.001139688895118556,0.00035025596347947914,0.001,0
gelu_resnet,4,0.0007966223338006863,0.00025838698089743656,0.001,0
gelu_resnet,5,0.0006339849043504468,0.00017854333736157666,0.001,0
gelu_resnet,6,0.0005198980653046497,0.00012995252863659212,0.001,0
gelu_resnet,7,0.0004573254013487271,0.00011132640484254807,0.001,0
gelu_resnet,8,0.0004200514949432441,0.00010368697239629304,0.001,0
gelu_resnet,9,0.0003942203929701022,9.931669726657371e-05,0.001,0
gelu_resnet,10,0.00037634949476990316,9.520730333713194e-05,0.001,0
gelu_resnet,11,0.0003607050928433559,9.502610496400545e-05,0.001,0
gelu_resnet,12,0.0003514013998676091,9.120153138414026e-05,0.001,0
gelu_resnet,13,0.0003436906552487718,9.530281721536691e-05,0.001,0
gelu_resnet,14,0.00033491593453101814,8.81483430795682e-05,0.001,0
gelu_resnet,15,0.0003315155345081751,0.00010189395220950246,0.001,0
gelu_resnet,16,0.00032365339428585556,8.630581277034555e-05,0.001,0
gelu_resnet,17,0.00032902911575245005,0.00010227384615223854,0.001,0
gelu_resnet,18,0.00032342745946587197,9.567157446717222e-05,0.001,0
gelu_resnet,19,0.0003883732184900769,8.637891815897698e-05,0.001,0
gelu_resnet,20,0.00044699022458999284,0.00022705162877527377,0.001,0
gelu_resnet,21,0.00048648525250011255,0.000351836565102761,0.001,0
gelu_resnet,22,0.0004946767166044031,0.0027686659370859466,0.001,0
gelu_resnet,23,0.00036239122564106117,8.898292988926793e-05,0.0005,0
gelu_resnet,24,0.00028386901111608105,9.637765400422116e-05,0.0005,0
gelu_resnet,25,0.0002815376903954893,8.552755076748629e-05,0.0005,0
gelu_resnet,26,0.0002804366088898054,8.397259868836652e-05,0.0005,0
gelu_resnet,27,0.00028170316701887975,0.00010725179602392018,0.0005,0
gelu_resnet,28,0.00028501518580397324,9.703167527293166e-05,0.0005,0
gelu_resnet,29,0.00029803408502068903,0.0002173975833132863,0.0005,0
gelu_resnet,30,0.0003649069208119597,0.00027092756090996167,0.0005,0
gelu_resnet,31,0.00033429404818852035,0.0001944816219108179,0.0005,0
gelu_resnet,32,0.00037693799520310546,0.00015048260387809327,0.0005,0
gelu_resnet,33,0.0002586302745062858,8.262608707494413e-05,0.00025,0
gelu_resnet,34,0.0002517648248347853,8.914091602355863e-05,0.00025,0
gelu_resnet,35,0.00024915588875168134,9.338315403321757e-05,0.00025,0
gelu_resnet,36,0.0002467246159392276,8.782461892658223e-05,0.00025,0
gelu_resnet,37,0.0002427557648166216,8.370337378854553e-05,0.00025,0
gelu_resnet,38,0.0002402976127527654,0.00012307475925733645,0.00025,0
gelu_resnet,39,0.0002368192602900256,8.335457834725579e-05,0.00025,0
gelu_resnet,40,0.00022745232017378189,8.25376669348528e-05,0.000125,1
dense_mlp,1,0.005146632536553911,0.0014540859092523654,0.001,0
dense_mlp,2,0.001547934192493558,0.0006980736444517971,0.001,0
dense_mlp,3,0.0009841173172768737,0.000357100983808438,0.001,0
dense_mlp,4,0.0007366871325272535,0.0003149470770762612,0.001,0
dense_mlp,5,0.0006944915010061647,0.00030344072240404786,0.001,0
dense_mlp,6,0.0006808227928302117,0.00028980697395590446,0.001,0
dense_mlp,7,0.0006699859520872789,0.0002888354417247077,0.001,0
dense_mlp,8,0.0006671816420901035,0.000277064703044792,0.001,0
dense_mlp,9,0.0006618961425923876,0.0002722751249745488,0.001,0
dense_mlp,10,0.0006564533490687609,0.0002599780313732723,0.001,0
dense_mlp,11,0.0006520108649932913,0.0002604552976693958,0.001,0
dense_mlp,12,0.0006467710050967123,0.00024841764091514053,0.001,0
dense_mlp,13,0.0006429168232450527,0.0002409575528372079,0.001,0
dense_mlp,14,0.0006370280520192215,0.0002293722389359027,0.001,0
dense_mlp,15,0.0006357982640926327,0.0002316181886009872,0.001,0
dense_mlp,16,0.0006320548458104687,0.0002292531896630923,0.001,0
dense_mlp,17,0.0006392922521542226,0.00023281797413403788,0.001,0
dense_mlp,18,0.0006344250053752745,0.0002284256697042535,0.001,1
highway,1,0.004554227207558496,0.0010033731367687384,0.001,0
highway,2,0.0008487033532107515,0.0005582550809780757,0.001,0
highway,3,0.0006962520077558501,0.0005175181729408602,0.001,0
highway,4,0.0006687853531299957,0.00047757368239263693,0.001,0
highway,5,0.0006434151490085892,0.0004599848762589196,0.001,0
highway,6,0.0004941481621257429,0.00026268814687927563,0.001,0
highway,7,0.00042260089768096805,0.0002503456605846683,0.001,0
highway,8,0.0004202414780030293,0.0002609273732515673,0.001,0
highway,9,0.0004223316848264741,0.0002595148528305193,0.001,0
highway,10,0.0004253787625714072,0.0002575122948922217,0.001,0
highway,11,0.0004177082607043641,0.0002555316243196527,0.001,0
highway,12,0.00041803264152258634,0.0002539292720022301,0.001,0
highway,13,0.00040865061531907747,0.0002493824558301518,0.001,0
highway,14,0.0004010093376439597,0.00027023384773482877,0.001,0
highway,15,0.00039531573782009737,0.00025190201194646457,0.001,0
highway,16,0.0003899836862858917,0.0002415133454464376,0.001,0
highway,17,0.00038069081944014344,0.00023700123195536434,0.001,0
highway,18,0.0003739411511139146,0.0002401495134520034,0.001,0
highway,19,0.0003696498332452029,0.00023207700827158987,0.001,0
highway,20,0.00036359867910189285,0.0002396795065825184,0.001,0
highway,21,0.00035742266180259843,0.00023715087858960032,0.001,0
highway,22,0.0003526320692244917,0.00023176023536982635,0.001,1
finn,1,0.18878626010586108,0.0028693452777465186,0.001,0
finn,2,0.00262956907518208,0.0008460129018748799,0.001,0
finn,3,0.0012278143002199275,0.00040113215256482363,0.001,0
finn,4,0.0008510758970890726,0.0002982300116152813,0.001,0
finn,5,0.0006584037792230291,0.0002292340485751629,0.001,0
finn,6,0.0005265715926819082,0.0001756387971015647,0.001,0
finn,7,0.0004391468048508146,0.00014299483443299928,0.001,0
finn,8,0.00038459993502524284,0.00012735100372383992,0.001,0
finn,9,0.00035119916549750736,0.00011944690550677478,0.001,0
finn,10,0.0003275815730422203,0.00012313786826096475,0.001,0
finn,11,0.00031183550548872775,0.00010551437893416732,0.001,0
finn,12,0.0002971308727961566,0.00010156482218764722,0.001,0
finn,13,0.00028617350040801936,9.917781526998927e-05,0.001,0
finn,14,0.0002779764417904828,9.379689323871086e-05,0.001,0
finn,15,0.00027076657811046713,9.311016132123768e-05,0.001,0
finn,16,0.00027118632030939416,9.530284776352346e-05,0.001,0
finn,17,0.00027095799847505985,9.229625463485718e-05,0.001,1
resnet_phys,1,0.2162527982177692,0.0003766446001486232,0.001,0
resnet_phys,2,0.0011664676472491451,0.00021595629405540725,0.001,0
resnet_phys,3,0.0008320586106500455,0.00024361965315726895,0.001,0
resnet_phys,4,0.0006582771608313279,0.00011969417680520564,0.001,0
